date,event,tender_id,entity,original,source_file,page
2025-06-20,tender valid until,1060378,Development of Residential and commercial Infrastructure at Jhilmil Residential Project Area,20-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1060378.pdf,1
2025-06-20,tender valid until,1060379,Development of Residential and commercial Infrastructure at Jhilmil Residential Project Area,20-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1060379.pdf,1
2025-06-20,tender valid until,1060380,Development of Residential and commercial Infrastructure at Jhilmil Residential Project Area,20-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1060380.pdf,1
2025-06-20,tender valid until,1060381,Development of Residential and commercial Infrastructure at Jhilmil Residential Project Area,20-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1060381.pdf,1
2025-06-20,tender valid until,1060890,Purbachal New Town Project,20-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1060890.pdf,1
2025-06-20,tender valid until,1060891,Purbachal New Town Project,20-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1060891.pdf,1
2025-06-22,contract work completes,1023053,WALTON HI-TECH INDUSTRIES PLC.,22-Jun-2025,Contract_Awards_PDFs/Tender_1023053.pdf,1
2025-06-22,contract work completes,1023054,M/S. Miaze Enterprise,22-Jun-2025,Contract_Awards_PDFs/Tender_1023054.pdf,1
2025-06-22,contract signed,1072723,Intimacy Computer & Solutions,22-Jun-2025,Contract_Awards_PDFs/Tender_1072723.pdf,1
2025-06-22,notification of award issued,1072723,Intimacy Computer & Solutions,22-Jun-2025,Contract_Awards_PDFs/Tender_1072723.pdf,1
2025-06-22,contract signed,1119438,M/S Modhumati Construction,22-Jun-2025,Contract_Awards_PDFs/Tender_1119438.pdf,1
2025-06-22,contract work starts,1121584,S.A.K. ENTERPRISE,22-Jun-2025,Contract_Awards_PDFs/Tender_1121584.pdf,1
2025-06-23,tender valid until,1032943,"Project Director(M.Uddin), Chittagong Development Authority",23-Jun-2025,Tender Notice_PDFs/CDA_Tender_1032943.pdf,1
2025-06-24,tender valid until,1058290,Development of Residential and commercial Infrastructure at Jhilmil Residential Project Area,24-Jun-2025,Tender Notice_PDFs/RAJUK_Tender_1058290.pdf,1
