id,name,match_key,other_printed_names,printed_name_variants,roles,documents,first_document,first_page,name_read_from_interleaved_layout,notices,awards,total_contract_value_taka,project_codes_printed,procuring_entities,tender_ids
pr0001,Building Repair and Maintenance,BUILDING REPAIR AND MAINTENANCE,,1,charged an awarded contract,6,Contract_Awards_PDFs/Tender_1000267.pdf,1,,0,6,121698887.391,,Superintending Engineer (Civil Circle-3) | Office of the Chief Engineer (Implementation) | Superintending Engineer (Civil Circle-1),1000267;189828;251218;507537;514341;514343
pr0002,Development of PRANTIK Residential Area (3rd Revised),DEVELOPMENT OF PRANTIK RESIDENTIAL AREA 3RD REVISED,,1,charged an awarded contract;charged a tender notice,10,Contract_Awards_PDFs/Tender_1000426.pdf,1,,6,4,238213569.27,9320000 40,Office of the Project Director,1000426;935862;935863;941603;961984;976553
pr0003,NA,NA,,1,charged an awarded contract,237,Contract_Awards_PDFs/Tender_1000945.pdf,1,,0,237,4943984044.005997,,"Construction of multi-storied apartment Buildings on 9(Nine) nos abandoned plot at Gulshan,Mohammadpur, Lalmatia & Dhanmondi, Dhaka. | Superintending Engineer (Civil Circle-1) | Uttara Apartment Project | Superintending Engineer (Civil Circle-4) | Office of the Assistant Programmer | Office of Exen (Maintenance) | Cox's Bazar Development Authority | Construction Division-1, Chattogram Development Authority | Project Director (CDA Square) | Office of the Project Director (KDA Bus Terminal) | Project Director(M.Uddin), Chittagong Development Authority | Office of the Chairman | Office of the Project Director, CoxDA Residential Flat Project-1 | Management Information System (MIS) | Office of Chief Engineer | Grid Maintenance Division, Comilla | Office of the Executive Engineer, LGED, Barisal | office of Chief Engineer ( Project & Design) | Dinajpur O&M Division | Project Director(M.Uddin) | Office of Planning Officer | Project Director(Mohammad Hasan) | Project Director(Rajib Das) | Electrical & Mechanical Engineering (EME) | Project Director (Saltgola) | Office of the Executive Engineer (Works) | Construction Division-3 | Director (Admin) | Project Director (Dewanhat) | Office of the Project Director (KDA Bipone Bitan) | Superintending Engineer-2 | Project Director(CRBKRKBC) | Zila Parishad, Sirajganj",1000945;1001120;1001613;1003623;1007300;1009276;1010247;1013009;1016323;1016492;1016870;1023051;1023052;1023053;1023054;1023057;1023060;1023061;1023333;1024374;1024391;1024467;1024517;1024525;1024787;1024807;1024943;1024948;1028832;1037582;1039767;1062494;1072723;1076521;1082896;1094618;1117569;1119438;1121584;1123494;1128572;1138415;1140112;1140113;1142188;1148941;1150077;1150442;1150459;1150469;1152584;1152671;1152766;1157085;1160337;1163187;1163354;1172101;1172974;1173101;1173102;1173557;1178437;1183753;1183822;1183835;1184463;1184466;1184470;1185193;1199127;1207915;1211856;1231413;1234511;1258384;1267626;149365;15000;168749;179865;18994;20558;234888;235131;235166;262818;276338;276885;291722;302667;303865;309557;342502;360423;387658;398199;409461;410561;417304;418364;423315;424168;427246;436738;446283;448675;459665;471795;501707;504349;504351;514221;515366;519402;523954;528460;539744;550266;550267;561734;595725;597090;598954;608964;609656;614373;614376;615021;616340;620619;629331;631780;637086;637169;639927;640368;644083;647622;653051;658227;661661;661888;663428;663429;667218;669151;669414;670154;671805;672061;681465;683811;684610;688763;688794;690870;695670;699109;699111;699961;710843;713622;727612;728690;728691;728692;728810;730799;732686;733637;737121;747837;770669;773275;775307;775518;780102;781011;783087;791688;808097;815786;824096;826146;827087;836225;836329;840372;842165;851863;851864;851865;857646;860503;865422;865423;865569;867256;879523;882631;882632;889938;909179;909196;916128;918775;925146;925988;935064;935084;935090;935093;937128;943936;944366;945416;945875;949817;949919;950811;951146;957875;95841;959288;960601;962656;962658;962659;963987;965239;966347;971832;971997;974362;978265;984794
pr0004,Repair Maintenance of Heavy Machinery & Equipment,REPAIR MAINTENANCE OF HEAVY MACHINERY EQUIPMENT,,1,charged an awarded contract;charged a tender notice,51,Contract_Awards_PDFs/Tender_1001460.pdf,1,,34,17,18466882.595,Xen/Mechanical-1/Repair & Maintenance,Office of the Superintending Engineer (Mechanical) | office of the Chief Engineer ( Project & Design),1001460;1001461;101974;1031801;1059690;1109349;1167810;1240321;1240322;1240323;1250614;1294288;134910;134917;144571;214561;236033;236036;236043;236045;236048;329551;329552;329553;329556;72156;747343;755479;756104;887587;887588;887589;938968;938969
pr0005,"Construction of CDA Square at Nasirabad, Chittagong",CONSTRUCTION OF CDA SQUARE AT NASIRABAD CHITTAGONG,,1,charged an awarded contract;charged a tender notice,21,Contract_Awards_PDFs/Tender_1001782.pdf,1,,12,9,838460242.862,CDA Square-02,Project Director (CDA Square),1001782;1001843;133881;223246;862601;862635;863109;863116;909193;909308;944909;954661
pr0006,Lift and Electrical Equipement Repare,LIFT AND ELECTRICAL EQUIPEMENT REPARE,,1,charged an awarded contract,7,Contract_Awards_PDFs/Tender_1002814.pdf,1,,0,7,14003104.944,,Office of the Superintending Engineer (Electrical),1002814;1002854;1081271;1083479;536846;888828;948446
pr0007,Widening and Improvement of Silimpur Residential Area (East),WIDENING AND IMPROVEMENT OF SILIMPUR RESIDENTIAL AREA EAST,,1,charged an awarded contract;charged a tender notice,8,Contract_Awards_PDFs/Tender_100483.pdf,1,,4,4,89959729.932,SRA,Project Director(Silimpur),100483;200650;201012;201451
pr0008,Construction of Staff Quarter for officer/employees,CONSTRUCTION OF STAFF QUARTER FOR OFFICER EMPLOYEES,,1,charged an awarded contract;charged a tender notice,4,Contract_Awards_PDFs/Tender_1008472.pdf,1,,2,2,7170739.2,RAJUK/Staff/BC-01,Office of the Superintending Engineer (Electrical),1008472;1147755
pr0009,Purbachal New town Project,PURBACHAL NEW TOWN PROJECT,,1,charged an awarded contract;charged a tender notice,189,Contract_Awards_PDFs/Tender_1008542.pdf,1,,127,62,2932810569.655002,5-3205-3111-PURBACHAL,Purbachal New Town Project | Office of the Chief Engineer (Implementation) | office of the Chief Engineer ( Project & Design),1008542;1008543;1008544;1008545;1008546;1008547;1008548;1011370;1011371;1060890;1060891;1060892;1060893;1060894;1060895;1066944;1066945;1066946;1069558;1069559;1069560;1069561;1069562;1069563;1069564;1071058;1071059;113428;119629;146443;146449;202993;209496;209498;209938;209939;251224;251227;292111;293000;293004;293018;301503;301505;320832;339042;339493;339496;427820;427825;427828;427832;427834;427848;427851;427855;427858;427861;427863;466081;466089;466094;466100;466105;466107;466108;466109;505037;528756;528758;535709;535710;535712;535717;535718;535719;590668;601508;601511;601512;601514;601516;601518;601519;601520;616291;616292;616293;616294;632736;632746;632748;632749;639731;639732;72113;72139;778651;778652;778653;789917;789918;789920;789921;789948;807901;807902;807903;807938;827548;858747;870250;870251;870252;901824;902293;920944;920945;920946;932337;957252;957253;957254;957255;957256;975321;975322
pr0010,Widening and Improvement of DC Road,WIDENING AND IMPROVEMENT OF DC ROAD,,1,charged an awarded contract;charged a tender notice,2,Contract_Awards_PDFs/Tender_101083.pdf,1,,1,1,3963689.307,5015,Project Director(DC Road),101083
pr0011,Construction of different types of Buildings/Roads/Infrastructure under RAJUK Jurisdiction,CONSTRUCTION OF DIFFERENT TYPES OF BUILDINGS ROADS INFRASTRUCTURE UNDER RAJUK JURISDICTION,,1,charged an awarded contract;charged a tender notice,21,Contract_Awards_PDFs/Tender_1013268.pdf,1,,11,10,279070312.869,REV/CP/BR-24,Superintending Engineer (Civil Circle-4),1013268;1013269;1013270;1082525;870258;870259;870260;870261;889937;948745;948746
pr0012,"Instalation of CCTV, Solar, PABX",INSTALATION OF CCTV SOLAR PABX,,1,charged an awarded contract;charged a tender notice,16,Contract_Awards_PDFs/Tender_1014738.pdf,1,,11,5,24407989.891,RAJUK/REV/CCTV,Office of the Superintending Engineer (Electrical) | office of the Chief Engineer ( Project & Design),1014738;1038890;1074002;1074022;1097226;1189629;1222799;1234620;199377;980158;989834
pr0013,Festival/event/contribution,FESTIVAL EVENT CONTRIBUTION,,1,charged an awarded contract;charged a tender notice,6,Contract_Awards_PDFs/Tender_1030720.pdf,1,,3,3,6802471.206,festival,Office of the Superintending Engineer (Electrical),1030720;891746;948435
pr0014,Construction of Zonal office,CONSTRUCTION OF ZONAL OFFICE,,1,charged an awarded contract;charged a tender notice,3,Contract_Awards_PDFs/Tender_1031714.pdf,1,,2,1,2899000.176,RAJUK/Zonal/BC-01,Office of the Superintending Engineer (Electrical),1031711;1031714
pr0015,Procurement of Heavy Machinary and Equipment,PROCUREMENT OF HEAVY MACHINARY AND EQUIPMENT,,1,charged an awarded contract;charged a tender notice,9,Contract_Awards_PDFs/Tender_1031800.pdf,1,,5,4,160973000.259,0040,Office of the Superintending Engineer (Mechanical),1031800;1056195;1062628;1109365;1134396
pr0016,Commmercial Complex Construction in various Places of RAJUK,COMMMERCIAL COMPLEX CONSTRUCTION IN VARIOUS PLACES OF RAJUK,,1,charged an awarded contract;charged a tender notice,2,Contract_Awards_PDFs/Tender_1035179.pdf,1,,1,1,41746974.102,secc3-1,Superintending Engineer (Civil Circle-3),1035179
pr0017,Development of Residential and Commercial Infrastructure at Jhilmil Residential Project Area.,DEVELOPMENT OF RESIDENTIAL AND COMMERCIAL INFRASTRUCTURE AT JHILMIL RESIDENTIAL PROJECT AREA,,1,charged an awarded contract;charged a tender notice,56,Contract_Awards_PDFs/Tender_1044320.pdf,1,,39,17,1305864505.845,157,Development of Residential and commercial Infrastructure at Jhilmil Residential Project Area | Office of the Chief Engineer (Implementation),1044320;1058290;1058291;1058292;1058293;1060377;1060378;1060379;1060380;1060381;1207633;1207634;1207635;1207636;1207637;1266470;172775;476403;476405;476406;476407;476408;753302;753303;753305;753306;753307;753308;753309;753310;753311;753312;905912;905913;905914;905915;905916;926607;948434
pr0018,Building Repair & Maintenance,BUILDING REPAIR MAINTENANCE,,1,charged an awarded contract;charged a tender notice,26,Contract_Awards_PDFs/Tender_1074661.pdf,1,,15,11,31626138.55,Xen/Electrical-1/Repair & Maintenance,Office of the Superintending Engineer (Electrical) | office of the Chief Engineer ( Project & Design),1013104;1074661;1097756;1205162;141649;72166;755274;936176;936225;936227;969822;980083;980096;980099;989883
pr0019,Purchase of Furniture,PURCHASE OF FURNITURE,,1,charged an awarded contract;charged a tender notice,6,Contract_Awards_PDFs/Tender_1077063.pdf,1,,4,2,4970760.118,RAJUK/MECH/Furniture,Office of the Superintending Engineer (Mechanical),1014223;1077063;1154317;1205116
pr0020,Construction and repair of different types of Buildings/Roads/Infrastructure under RAJUK Jurisdiction,CONSTRUCTION AND REPAIR OF DIFFERENT TYPES OF BUILDINGS ROADS INFRASTRUCTURE UNDER RAJUK JURISDICTION,,1,charged an awarded contract;charged a tender notice,13,Contract_Awards_PDFs/Tender_1081213.pdf,1,,8,5,128846169.27,Exen/Elec/Repair-01,Superintending Engineer (Civil Circle-4) | Office of the Superintending Engineer (Electrical),1016865;1016866;1016867;1081213;1082494;1082495;1082496;828053
pr0021,"Computer, Office Accessiories and Parts Purchage.",COMPUTER OFFICE ACCESSIORIES AND PARTS PURCHAGE,,1,charged an awarded contract;charged a tender notice,18,Contract_Awards_PDFs/Tender_1083760.pdf,1,,11,7,52554571.509,RJK/Elec/Com and Asse.,Office of the Superintending Engineer (Electrical) | office of the Chief Engineer ( Project & Design),1083760;1215675;1215677;360496;825783;832064;948448;969481;969489;989865;998795
pr0022,"Construction of Flyover at Muradpur, 2 No. Gate, GEC Junction",CONSTRUCTION OF FLYOVER AT MURADPUR 2 NO GATE GEC JUNCTION,"Construction of Flyover at Muradpur, 2 No. Gate, GEC Junction .",2,charged an awarded contract;charged a tender notice,8,Contract_Awards_PDFs/Tender_108836.pdf,1,,4,4,146108252.563,E-5797;mflyover-7260,Project Director (Muradpur Flyover),108836;189939;189944;215555
pr0023,Printing and stationery,PRINTING AND STATIONERY,,1,charged an awarded contract;charged a tender notice,4,Contract_Awards_PDFs/Tender_1096839.pdf,1,,2,2,7735436.5,RAJUK/admin/Print,Director (Admin),1096839;1096909
pr0024,"Construction of Dormitory for Working Women and Commercial Building at Salttgola, Chittagong",CONSTRUCTION OF DORMITORY FOR WORKING WOMEN AND COMMERCIAL BUILDING AT SALTTGOLA CHITTAGONG,,1,charged an awarded contract;charged a tender notice,3,Contract_Awards_PDFs/Tender_110297.pdf,1,,2,1,495240760.339,N/A,Project Director (Saltgola),110297;99744
pr0025,Important Rural Infrastructures Development Project on Priority Basis-2,IMPORTANT RURAL INFRASTRUCTURES DEVELOPMENT PROJECT ON PRIORITY BASIS 2,,1,charged an awarded contract;charged a tender notice,2,Contract_Awards_PDFs/Tender_111480.pdf,1,,1,1,3560581.224,5-3731-5143,"Office of the Executive Engineer, LGED, Department (LGED) Satkhira | Office of the Executive Engineer, LGED, Satkhira",111480
pr0026,Construction of Connecting Road From Natore Road (RUET) To Rajshahi By-Pass Road (1st Revised),CONSTRUCTION OF CONNECTING ROAD FROM NATORE ROAD RUET TO RAJSHAHI BY PASS ROAD 1ST REVISED,,1,charged an awarded contract;charged a tender notice,2,Contract_Awards_PDFs/Tender_112012.pdf,1,,1,1,899353315.989,5014,Office of the Chairman,112012
pr0027,Other equipment and accessories,OTHER EQUIPMENT AND ACCESSORIES,,1,charged an awarded contract;charged a tender notice,5,Contract_Awards_PDFs/Tender_1135936.pdf,1,,4,1,4522500,RAJUK/ELEC/Other equipment,Office of the Superintending Engineer (Electrical),1135936;1234622;1262415;1262416
pr0028,Service Maintenance and related works of Hatirjheel,SERVICE MAINTENANCE AND RELATED WORKS OF HATIRJHEEL,,1,charged an awarded contract;charged a tender notice,10,Contract_Awards_PDFs/Tender_1140010.pdf,1,,8,2,7013879.1,Hatirjheel/ME/21-22,Office of the Superintending Engineer (Mechanical),1056194;1134392;1140010;1140011;1297773;722613;722614;854205
pr0029,CDA Mehedibag Staff Quarter,CDA MEHEDIBAG STAFF QUARTER,,1,charged an awarded contract;charged a tender notice,2,Contract_Awards_PDFs/Tender_114570.pdf,1,,1,1,4197894.516,MSQ-31&33,Project Director (MehedibagSQ),114570
pr0030,Electrical accessories repair,ELECTRICAL ACCESSORIES REPAIR,,1,charged an awarded contract;charged a tender notice,4,Contract_Awards_PDFs/Tender_1146506.pdf,1,,2,2,3676426.2,RAJUK/elec/accessories-1,Office of the Superintending Engineer (Electrical),1146506;1205153
pr0031,"Internet, LAN, WAN connection repair and maintenance",INTERNET LAN WAN CONNECTION REPAIR AND MAINTENANCE,,1,charged an awarded contract;charged a tender notice,4,Contract_Awards_PDFs/Tender_1146509.pdf,1,,2,2,2610945,RAJUK/elec/internet & LAN,Office of the Superintending Engineer (Electrical),1146509;1146510
pr0032,Equipment accessories repair,EQUIPMENT ACCESSORIES REPAIR,,1,charged an awarded contract;charged a tender notice,4,Contract_Awards_PDFs/Tender_1146511.pdf,1,,2,2,2293857.2,RAJUK/Elec/equipment accessories,Office of the Superintending Engineer (Electrical),1146511;1272697
pr0033,Master Plan Preparation for Cox's Bazar District,MASTER PLAN PREPARATION FOR COX S BAZAR DISTRICT,,1,charged an awarded contract;charged a tender notice,26,Contract_Awards_PDFs/Tender_1163081.pdf,1,,13,13,58909283.541,222012300,CoxDA Master Plan,1163081;1272190;1273100;834339;835443;835607;835662;835847;837643;837644;975403;976291;976770
pr0034,Maintenance and related works of Hatirjheel,MAINTENANCE AND RELATED WORKS OF HATIRJHEEL,,1,charged an awarded contract;charged a tender notice,10,Contract_Awards_PDFs/Tender_1186178.pdf,1,,7,3,16653275.921,Hatirjheel/elec/01-2021-22,Office of the Superintending Engineer (Electrical),1030829;1186178;1186179;685799;685873;685885;704165
pr0035,Uttara Residential Model Town (3rd Phase),UTTARA RESIDENTIAL MODEL TOWN 3RD PHASE,,1,charged an awarded contract;charged a tender notice,67,Contract_Awards_PDFs/Tender_119326.pdf,1,,39,28,815710722.177,5-3205-3111-UMT,Office of the Chief Engineer (Implementation) | office of the Chief Engineer ( Project & Design) | Uttara 3rd Phase Project,119326;119498;119500;119545;125872;125873;125874;125877;174700;174705;174709;174710;174712;174714;174717;174720;190232;199368;431687;431689;431690;431692;431697;431699;431701;431702;431704;431706;431707;431708;595833;615572;647342;647346;647351;647356;647359;647361;85344
pr0036,Lift and Electrical Equipment Repair,LIFT AND ELECTRICAL EQUIPMENT REPAIR,,1,charged an awarded contract;charged a tender notice,5,Contract_Awards_PDFs/Tender_119636.pdf,1,,4,1,1380218.4,Xen/Electrical/Repair and maintenance,office of the Chief Engineer ( Project & Design),119636;198861;199363;199364
pr0037,Lift Repair,LIFT REPAIR,,1,charged an awarded contract;charged a tender notice,4,Contract_Awards_PDFs/Tender_1205154.pdf,1,,3,1,405716.087,RAJUK/ELEC/Lift Repair,Office of the Superintending Engineer (Electrical),1205154;1206004;1232699
pr0038,"Print, Binding and Stationery accessories",PRINT BINDING AND STATIONERY ACCESSORIES,,1,charged an awarded contract;charged a tender notice,2,Contract_Awards_PDFs/Tender_1205157.pdf,1,,1,1,5177345,RAJUK/ELEC/Print,Office of the Superintending Engineer (Electrical),1205157
pr0039,Gulshan-Banani-Baridhara Lake Development,GULSHAN BANANI BARIDHARA LAKE DEVELOPMENT,,1,charged an awarded contract;charged a tender notice,9,Contract_Awards_PDFs/Tender_1225895.pdf,1,,6,3,178968801.417,8080,Office of the Chief Engineer (Implementation) | Gulshan-Banani-Baridhara Lake Development Project,114054;1170765;1170766;1225895;1225896;151177
pr0040,Construction of KDA Rest House at Khulna,CONSTRUCTION OF KDA REST HOUSE AT KHULNA,,1,charged an awarded contract;charged a tender notice,2,Contract_Awards_PDFs/Tender_124055.pdf,1,,1,1,52530500.002,25.030.014.02.00.014.2011/193,Office of the Project Director (KDA Rest House Project-Khulna),124055
pr0041,Uttara Apment Project,UTTARA APMENT PROJECT,,1,charged an awarded contract,38,Contract_Awards_PDFs/Tender_125042.pdf,1,,0,38,1650232887.952,,office of the Chief Engineer ( Project & Design) | Office of the Chief Engineer (Implementation) | Uttara Apartment Project,125042;125294;146376;146377;146380;146381;149105;149115;149117;149118;174670;174671;174673;174674;174677;174678;174680;198193;199891;209736;236241;236242;248616;248617;248618;248619;248621;248622;248623;248625;248630;248631;248633;501956;79395;80585;80586;98112
pr0042,Road construction survey project mentioned in DAP in the area under the jurisdiction of Gazipur Development Authority.,ROAD CONSTRUCTION SURVEY PROJECT MENTIONED IN DAP IN THE AREA UNDER THE JURISDICTION OF GAZIPUR DEVELOPMENT AUTHORITY,,1,charged an awarded contract;charged a tender notice,8,Contract_Awards_PDFs/Tender_1251756.pdf,1,,5,3,4660164,gda-dev-2025-2026-2,"Office of the Chief Engineer, Gazipur Development Authority",1251658;1251756;1251766;1257174;1261854
pr0043,"Feasibility study project for the planned housing development in Gazipur district, comprising three projects over an area of more than 200 acres and eight projects within 20 acres.",FEASIBILITY STUDY PROJECT FOR THE PLANNED HOUSING DEVELOPMENT IN GAZIPUR DISTRICT COMPRISING THREE PROJECTS OVER AN AREA OF MORE THAN 200 ACRES AND EIGHT PROJECTS WITHIN 20 ACRES,,1,charged an awarded contract;charged a tender notice,7,Contract_Awards_PDFs/Tender_1253316.pdf,1,,5,2,2884032,gda-dev-2025-2026-3,"Planning Section, Gazipur Development Authority",1253316;1253318;1253320;1257398;1261983
pr0044,"Study project titled ""Feasibility of research through surveys, surveys, and random sampling on low-income housing""",STUDY PROJECT TITLED FEASIBILITY OF RESEARCH THROUGH SURVEYS SURVEYS AND RANDOM SAMPLING ON LOW INCOME HOUSING,,1,charged an awarded contract;charged a tender notice,7,Contract_Awards_PDFs/Tender_1253428.pdf,1,,5,2,2075880.25,gda-dev-2025-2026-1,"Office of the Member,Administration and Finance Department, Gazipur Development Authority",1253425;1253427;1253428;1257431;1262256
pr0045,yearly works/goods supply/physical services with rev budget.,YEARLY WORKS GOODS SUPPLY PHYSICAL SERVICES WITH REV BUDGET,,1,charged an awarded contract;charged a tender notice,2,Contract_Awards_PDFs/Tender_1257073.pdf,1,,1,1,305100,gda-rev-2025-2026,"Admin and Finance Section, Gazipur Development Authority",1257073
pr0046,Greater Pabna & Bogra District Rural Infrastructures Development Project,GREATER PABNA BOGRA DISTRICT RURAL INFRASTRUCTURES DEVELOPMENT PROJECT,,1,charged an awarded contract;charged a tender notice,2,Contract_Awards_PDFs/Tender_159826.pdf,1,,1,1,2575159.201,5-3731-5152,"Office of the Executive Engineer, LGED, Department (LGED) Pabna | Office of the Executive Engineer, LGED, Pabna",159826
pr0047,Residents for Rajuk Officer and Staff,RESIDENTS FOR RAJUK OFFICER AND STAFF,,1,charged an awarded contract,2,Contract_Awards_PDFs/Tender_162060.pdf,1,,0,2,41662388.7,,office of the Chief Engineer ( Project & Design),162060;162590
pr0048,Urban Resilience Project-RAJUK Part,URBAN RESILIENCE PROJECT RAJUK PART,,1,charged an awarded contract;charged a tender notice,22,Contract_Awards_PDFs/Tender_164878.pdf,1,,13,9,133218515.387,5-3205-5025,"Office of the Project Director, Urban Resilience Project-RAJUK Part,RAJUK,Dhaka",164878;174037;178196;199942;237820;376977;389133;427350;437635;475789;475801;494177;564502
pr0049,"Computer, Office Accessories & Equipment Procurement",COMPUTER OFFICE ACCESSORIES EQUIPMENT PROCUREMENT,,1,charged an awarded contract;charged a tender notice,4,Contract_Awards_PDFs/Tender_169223.pdf,1,,3,1,1430370.835,Xen/Electrical-1/computer,office of the Chief Engineer ( Project & Design),169223;89904;89908
pr0050,Integrated Development of Hatirjheel Area including Begunbari Khal.,INTEGRATED DEVELOPMENT OF HATIRJHEEL AREA INCLUDING BEGUNBARI KHAL,,1,charged an awarded contract;charged a tender notice,7,Contract_Awards_PDFs/Tender_171570.pdf,1,,5,2,28183196.7,8050,office of the Chief Engineer ( Project & Design) | Office of the Chief Engineer (Implementation),119632;171570;86290;89828;98617
