id,name,match_key,other_printed_names,printed_name_variants,roles,documents,first_document,first_page,name_read_from_interleaved_layout,notices,awards,total_contract_value_taka,project_codes_printed,procuring_entities,tender_ids
pr0066,Construction of the Father of the Nation Bangabandhu Sheikh Mujibur Rahman Square at Talaimary Chattar.,CONSTRUCTION OF THE FATHER OF THE NATION BANGABANDHU SHEIKH MUJIBUR RAHMAN SQUARE AT TALAIMARY CHATTAR,,1,charged an awarded contract;charged a tender notice,4,Contract_Awards_PDFs/Tender_383988.pdf,1,,2,2,300375246.44,224145400,Office of the Chairman,383988;703479
pr0067,Development of Union Connecting Road & Infrastructure: Greater Chittagong (Chittagong & Cox's Bazar District),DEVELOPMENT OF UNION CONNECTING ROAD INFRASTRUCTURE GREATER CHITTAGONG CHITTAGONG COX S BAZAR DISTRICT,,1,charged an awarded contract;charged a tender notice,2,Contract_Awards_PDFs/Tender_42800.pdf,1,,1,1,3923174.101,8121,"Office of the Executive Engineer, LGED, Department (LGED) Chittagong | Office of the Executive Engineer, LGED, Chittagong",42800
pr0068,Holiday More-Bazarghata-Larpara (Bus Stand) Main Road Re-Construction and Widening Project of Coxs Bazar District,HOLIDAY MORE BAZARGHATA LARPARA BUS STAND MAIN ROAD RE CONSTRUCTION AND WIDENING PROJECT OF COXS BAZAR DISTRICT,,1,charged an awarded contract;charged a tender notice,22,Contract_Awards_PDFs/Tender_448324.pdf,1,,12,10,2173394570.322,224297500,Cox's Bazar Development Authority,448324;448434;461085;461209;509251;549299;549431;617410;617449;617807;618898;647467
pr0069,Draperies and Liveries,DRAPERIES AND LIVERIES,,1,charged an awarded contract;charged a tender notice,2,Contract_Awards_PDFs/Tender_510186.pdf,1,,1,1,1437851.259,3111315,Superintending Engineer (Civil Circle-1),510186
pr0070,Construction and Reservation of Park/Play ground in different places of Dhaka Mega City,CONSTRUCTION AND RESERVATION OF PARK PLAY GROUND IN DIFFERENT PLACES OF DHAKA MEGA CITY,,1,charged an awarded contract;charged a tender notice,2,Contract_Awards_PDFs/Tender_517916.pdf,1,,1,1,4270323.6,13-6414-0116,Office of the Superintending Engineer (Electrical),517916
pr0071,Chattogram City Outer Ring Road (Patenga to Sagorika),CHATTOGRAM CITY OUTER RING ROAD PATENGA TO SAGORIKA,,1,charged an awarded contract;charged a tender notice,6,Contract_Awards_PDFs/Tender_538256.pdf,1,,4,2,1121704754.817,224028100,Project Director (CCORRP),538256;867632;917088;917456
pr0072,Construction of Multi Storied Office Building of Cox's Bazar Development Authority (CoxDA),CONSTRUCTION OF MULTI STORIED OFFICE BUILDING OF COX S BAZAR DEVELOPMENT AUTHORITY COXDA,,1,charged an awarded contract;charged a tender notice,10,Contract_Awards_PDFs/Tender_548292.pdf,1,,6,4,71693919.34,224217700,Cox's Bazar Development Authority,547875;548292;548589;549164;563563;577378
pr0073,Widening and Improvement of Khulna Shipyard Road.,WIDENING AND IMPROVEMENT OF KHULNA SHIPYARD ROAD,,1,charged an awarded contract;charged a tender notice,5,Contract_Awards_PDFs/Tender_581310.pdf,1,,4,1,1434577898.254,007093,Office of Exen (works),1142890;1265434;502973;581310
pr0074,Construction work of Access Road from Sirajuddoula Road to Shah amanat Bridge Connecting road(Bakalia Acccess),CONSTRUCTION WORK OF ACCESS ROAD FROM SIRAJUDDOULA ROAD TO SHAH AMANAT BRIDGE CONNECTING ROAD BAKALIA ACCCESS,,1,charged an awarded contract;charged a tender notice,6,Contract_Awards_PDFs/Tender_596661.pdf,1,,3,3,210108374.778,13201-01-224029800,"Project Director(KK Newaz), Chittagong Development Authority",596661;735107;736874
pr0075,Electro_Mechanical Equipment Purchage,ELECTRO MECHANICAL EQUIPMENT PURCHAGE,,1,charged an awarded contract;charged a tender notice,6,Contract_Awards_PDFs/Tender_622539.pdf,1,,4,2,14483217.49,RJK_ELEC_10,Office of the Superintending Engineer (Electrical),1022432;1265185;622539;969450
pr0076,Extention of Banalata Commercial Area and Development of Residential Area,EXTENTION OF BANALATA COMMERCIAL AREA AND DEVELOPMENT OF RESIDENTIAL AREA,,1,charged an awarded contract;charged a tender notice,3,Contract_Awards_PDFs/Tender_64165.pdf,1,,2,1,4187780.121,3117,Office of the Chaiman | Office of the Chairman,64165;68947
pr0077,Repare and Maintenance of verious structure/Road in the area under Rajuk.,REPARE AND MAINTENANCE OF VERIOUS STRUCTURE ROAD IN THE AREA UNDER RAJUK,,1,charged an awarded contract;charged a tender notice,2,Contract_Awards_PDFs/Tender_667693.pdf,1,,1,1,25972842.87,UTR2/Road Constraction,Gulshan-Banani-Baridhara Lake Development Project,667693
pr0078,Preparation of Chattogram Metropolitan Master Plan (2020-2041),PREPARATION OF CHATTOGRAM METROPOLITAN MASTER PLAN 2020 2041,,1,charged an awarded contract;charged a tender notice,7,Contract_Awards_PDFs/Tender_670297.pdf,1,,5,2,11514499.783,1320101224311100,Project Director (Master Plan),1287229;655654;670297;733123;745109
pr0079,Uttara Lake Development Project,UTTARA LAKE DEVELOPMENT PROJECT,,1,charged an awarded contract;charged a tender notice,4,Contract_Awards_PDFs/Tender_752801.pdf,1,,2,2,579185877.978,5020,Uttara Lake Development Project | Office of the Chief Engineer (Implementation),752801;89106
pr0080,Construction of Road along the bank of Karnafully River from Kalurghat Bridge to Chaktai khal.,CONSTRUCTION OF ROAD ALONG THE BANK OF KARNAFULLY RIVER FROM KALURGHAT BRIDGE TO CHAKTAI KHAL,,1,charged an awarded contract;charged a tender notice,2,Contract_Awards_PDFs/Tender_775105.pdf,1,,1,1,8812446857.066,224145200,Project Director(Rajib Das),775105
pr0081,Construction of Link Road from Dhaka Trunk Road to Baizid Boastami Road including Loop Road at the outer periphery of AUW,CONSTRUCTION OF LINK ROAD FROM DHAKA TRUNK ROAD TO BAIZID BOASTAMI ROAD INCLUDING LOOP ROAD AT THE OUTER PERIPHERY OF AUW,,1,charged an awarded contract;charged a tender notice,6,Contract_Awards_PDFs/Tender_781266.pdf,1,,4,2,842929183.64,224027400,Project Director (Loop Road),727849;755321;781266;848555
