tender_id,source_file,page,amendment_no,amendment_no_printed,changed_fields,changed_field_count,eligibility_changed,has_change_table,notice_text
515689,Tender Notice_PDFs/CDA_Tender_515689.pdf,2,1,1,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,Plaese find the Amendment/ Corrigendum listed below
516211,Tender Notice_PDFs/CDA_Tender_516211.pdf,2,1,1,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,Plaese find the Amendment/ Corrigendum listed below
516212,Tender Notice_PDFs/CDA_Tender_516212.pdf,2,1,1,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,Plaese find the Amendment/ Corrigendum listed below
516485,Tender Notice_PDFs/CDA_Tender_516485.pdf,2,1,1,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,Plaese find the Amendment/ Corrigendum listed below
644083,Tender Notice_PDFs/CDA_Tender_644083.pdf,2,1,1 Amended as follows,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time;Tender/Proposal Security (Amount in BDT)(Lot No : 01),5,no,yes,Description Original Amended Tender/Proposal Security BDT 830000 BDT 83000
657600,Tender Notice_PDFs/CDA_Tender_657600.pdf,2,1,1,Closing Date & Time;Document last selling date & time;Eligibility of Consultant;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,5,yes,yes,Amendment
669414,Tender Notice_PDFs/CDA_Tender_669414.pdf,2,1,1,Closing Date & Time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,3,no,yes,Security Submission Extension
727849,Tender Notice_PDFs/CDA_Tender_727849.pdf,2,1,1,Tender/Proposal Security (Amount in BDT)(Lot No : 1),1,no,yes,Amendment/ Corrigendum in Tender/Proposal Security
733123,Tender Notice_PDFs/CDA_Tender_733123.pdf,2,1,1 Amendment in Tender Documents in Section No. -05 Price and Delivery Schedule for Goods (Form e-PG3-3A) – Item specification – 1 and 2,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,Price and Delivery Schedule for Related Services (Form e-PG3-3B)- Item specification – 1 and 2
786407,Tender Notice_PDFs/CDA_Tender_786407.pdf,2,1,1,Completion Date(Lot No : 01);Eligibility of Consultant;TDS/PDS--C. Qualification Criteria--,3,yes,yes,Amendment in Tender Notice and Tender Documents(TDS and PCC)
