tender_id,clause_no,source_file,page,source_field,printed_label,text,chars,categories,defers_to_another_document,money_taka,money_original,money_words,money_scale_words,money_reading,money_unresolved,years,contract_counts,percentages
536846,2,Tender Notice_PDFs/RAJUK_Tender_536846.pdf,1,eligibility,Eligibility of Tenderer,a) The Tenderer having minimum 05 ( Five) years general experience of electro--mechanical works .,97,experience_general,no,,,,,,,5,,
536846,3,Tender Notice_PDFs/RAJUK_Tender_536846.pdf,1,eligibility,Eligibility of Tenderer,b) The Tenderer shall have successfully Completed of 01 (One ) No Air-Cooler Servicing & Maintenance Works of minimum amount Tk.9.00 (Nine) Lacs single Contract within last 05 ( Five) years Under in Govt./ Semi Govt./ Autonomous body. i.e Counting backward from the date of publication of IFT in the News Paper/ Website.,320,other,no,900000.00;900000.00,Tk.9.00 (Nine) Lacs | 9.00 (Nine) Lacs,Nine | Nine,lacs,"the digits and the words agree, so the scale word is applied to them | the digits and the words agree, so the scale word is applied to them",,5,,
536846,4,Tender Notice_PDFs/RAJUK_Tender_536846.pdf,1,eligibility,Eligibility of Tenderer,c) The minimum amount of Liquid Assets or Working Capital or Credit facilities of the Tenderer shall be Tk. 12.00 (Twelve) Lacs only.,133,financial_liquid;financial_credit,no,1200000.00;1200000.00,Tk. 12.00 (Twelve) Lacs | 12.00 (Twelve) Lacs,Twelve | Twelve,lacs,"the digits and the words agree, so the scale word is applied to them | the digits and the words agree, so the scale word is applied to them",,,,
536846,5,Tender Notice_PDFs/RAJUK_Tender_536846.pdf,1,eligibility,Eligibility of Tenderer,"d) Annual Electro - Mechanical Turnover : Last five years ( Financial year 2015-2016, 2016-2017 , 2017-2018, 2018-2019, 2019-2020 ) average Annual Turnover should be required minimum amount Tk.12.00 (Twelve) Lacs.",213,financial_turnover,no,1200000.00;1200000.00,Tk.12.00 (Twelve) Lacs | 12.00 (Twelve) Lacs,Twelve | Twelve,lacs,"the digits and the words agree, so the scale word is applied to them | the digits and the words agree, so the scale word is applied to them",,,,
536846,6,Tender Notice_PDFs/RAJUK_Tender_536846.pdf,1,eligibility,Eligibility of Tenderer,e) Tenderer must have up-to-date ABC/BC category Contractory & Electrical Supervisory License from Bangladesh Electrical Licensing Board.,137,cert_licence_class,no,,,,,,,,,
536846,7,Tender Notice_PDFs/RAJUK_Tender_536846.pdf,1,eligibility,Eligibility of Tenderer,f) The Tenderer must have Income Tax clearance Certificate (2019-2020).,71,cert_tin;cert_other,no,,,,,,,,,
536846,8,Tender Notice_PDFs/RAJUK_Tender_536846.pdf,1,eligibility,Eligibility of Tenderer,g) The Tenderer must have VAT/BIN Registration Certificate.,59,cert_vat;cert_bin;cert_other,no,,,,,,,,,
536846,9,Tender Notice_PDFs/RAJUK_Tender_536846.pdf,1,eligibility,Eligibility of Tenderer,h) The Tenderer must have valid Trade License (2020-2021),57,cert_trade_licence,no,,,,,,,,,
564502,1,Tender Notice_PDFs/RAJUK_Tender_564502.pdf,1,eligibility,Eligibility of Tenderer,"As per Section A, Clause No. 5 of Instructions to Tenderer (ITT) and Tender Data Sheet (TDS)",92,deferred,yes,,,,,,,,,
583196,1,Tender Notice_PDFs/RAJUK_Tender_583196.pdf,1,eligibility,Eligibility of Tenderer,This invitation for Tender is Open to Repoted bonafied Firm/ Organization/ Manufacturer/ Authorized Agent as mentioned below as further detailed in the Tender Data Sheet (TDS) as well as Particular Conditions of Contract (PCC) of the Tender Document.,250,other,no,,,,,,,,,
