document_id,file,filename,folder,kind,tender_id,pages,bytes,sha256,characters,words,ruled_tables,images,script,has_text_layer,needs_ocr,second_extractor_chars,extractors_agree,duplicate_text_of,read_error,fields_read,dates_read,eligibility_chars,lots_read,beneficial_owners_read,creator,producer,pdf_created,pdf_modified,interleaved_layout_warnings,interleaved_layout_detail
RAJUK_Tender_989865,Tender Notice_PDFs/RAJUK_Tender_989865.pdf,RAJUK_Tender_989865.pdf,Tender Notice_PDFs,tender_notice,989865,2,96167,ee992fe7cb32d53ceaeddd1343b0abeef21ab0fd0e9b643bf29230e4ac75855c,4758,687,1,2,en,yes,no,4861,yes,,,46,9,1256,1,0,Chromium,Skia/PDF m149,D:20260715105838+00'00',D:20260715105838+00'00',0,
RAJUK_Tender_989883,Tender Notice_PDFs/RAJUK_Tender_989883.pdf,RAJUK_Tender_989883.pdf,Tender Notice_PDFs,tender_notice,989883,2,98280,57e6ab7b75204d4f22a5107668e14469dfd18ba3b29f74976200960425d889b6,5641,778,1,2,en,yes,no,5752,yes,,,46,9,1368,1,0,Chromium,Skia/PDF m149,D:20260715105839+00'00',D:20260715105839+00'00',0,
RAJUK_Tender_998795,Tender Notice_PDFs/RAJUK_Tender_998795.pdf,RAJUK_Tender_998795.pdf,Tender Notice_PDFs,tender_notice,998795,2,96003,11ec9a9a0d5a6175ac01faf6c2eec49ad558d73e22a3c77284a204ab4d50beb5,5270,732,1,2,en,yes,no,5378,yes,,,46,9,1257,1,0,Chromium,Skia/PDF m149,D:20260715105840+00'00',D:20260715105840+00'00',0,
RDA_Tender_1000426,Tender Notice_PDFs/RDA_Tender_1000426.pdf,RDA_Tender_1000426.pdf,Tender Notice_PDFs,tender_notice,1000426,2,92015,c87a89db6f14714320e75a1b6075056175852b22a557cb213ca682154d4c9378,3250,477,1,2,en,yes,no,3340,yes,,,46,9,11,1,0,Chromium,Skia/PDF m149,D:20260715110518+00'00',D:20260715110518+00'00',0,
RDA_Tender_112012,Tender Notice_PDFs/RDA_Tender_112012.pdf,RDA_Tender_112012.pdf,Tender Notice_PDFs,tender_notice,112012,2,92120,bc967df7fb5b9c5fa1b520d38051f68c99c7732aab6f19a0f4402f9d823f6899,4094,577,1,2,en,yes,no,4189,yes,,,46,9,17,1,0,Chromium,Skia/PDF m149,D:20260715110548+00'00',D:20260715110548+00'00',0,
RDA_Tender_1140112,Tender Notice_PDFs/RDA_Tender_1140112.pdf,RDA_Tender_1140112.pdf,Tender Notice_PDFs,tender_notice,1140112,2,90807,1f7134d59a99fe89d4d37a1dc3cb77176b667c9d8de2178e4ade719da174b3ea,3197,462,1,2,en,yes,no,3284,yes,,,46,9,11,1,0,Chromium,Skia/PDF m149,D:20260715110517+00'00',D:20260715110517+00'00',0,
RDA_Tender_1140113,Tender Notice_PDFs/RDA_Tender_1140113.pdf,RDA_Tender_1140113.pdf,Tender Notice_PDFs,tender_notice,1140113,2,91980,ed28b20fee181695ef135487f6e3572b011ab1a908e42e56787db283b826b1d2,3924,548,1,2,en,yes,no,4015,yes,,,46,9,11,1,0,Chromium,Skia/PDF m149,D:20260715110517+00'00',D:20260715110517+00'00',0,
RDA_Tender_1142188,Tender Notice_PDFs/RDA_Tender_1142188.pdf,RDA_Tender_1142188.pdf,Tender Notice_PDFs,tender_notice,1142188,2,91768,02dedcbdd9cdbaf4da7c98a22f80b7f98f54ea05d5e72fb8ad40a2acd9cb8dcd,4071,562,1,2,en,yes,no,4164,yes,,,46,9,11,1,0,Chromium,Skia/PDF m149,D:20260715110516+00'00',D:20260715110516+00'00',0,
RDA_Tender_1234511,Tender Notice_PDFs/RDA_Tender_1234511.pdf,RDA_Tender_1234511.pdf,Tender Notice_PDFs,tender_notice,1234511,2,91088,a987f22a000e4d9bfd13ff25ba8e43aeaffae4b274dc5ff621a61f983585d476,3274,488,1,2,en,yes,no,3363,yes,,,46,9,11,1,0,Chromium,Skia/PDF m149,D:20260715110515+00'00',D:20260715110515+00'00',0,
RDA_Tender_207700,Tender Notice_PDFs/RDA_Tender_207700.pdf,RDA_Tender_207700.pdf,Tender Notice_PDFs,tender_notice,207700,2,92053,5230bc5ce7d367bf7c32850a15eec4b413d8f59593117c5c1b4a1e808cb6a07f,4311,600,1,2,en,yes,no,4409,yes,,,46,9,17,1,0,Chromium,Skia/PDF m149,D:20260715110548+00'00',D:20260715110548+00'00',0,
RDA_Tender_284197,Tender Notice_PDFs/RDA_Tender_284197.pdf,RDA_Tender_284197.pdf,Tender Notice_PDFs,tender_notice,284197,2,92813,bdffdaa01a5d51a8fcb69884885c7526d577a22b35acf9101f633de53e8d036d,3896,557,1,2,en,yes,no,3992,yes,,,46,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110547+00'00',D:20260715110547+00'00',0,
RDA_Tender_291722,Tender Notice_PDFs/RDA_Tender_291722.pdf,RDA_Tender_291722.pdf,Tender Notice_PDFs,tender_notice,291722,2,91783,f10e8caa1badbc1d72d2a65536244ee988224b1656665dd90a47ae861e97c895,3359,487,1,2,en,yes,no,3450,yes,,,46,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110546+00'00',D:20260715110546+00'00',0,
RDA_Tender_300507,Tender Notice_PDFs/RDA_Tender_300507.pdf,RDA_Tender_300507.pdf,Tender Notice_PDFs,tender_notice,300507,2,92768,3e67bf7329f1a195a0269ce57f8ec1d5322a9cf4179f9b57cbe01bec44131a5c,3877,561,1,2,en,yes,no,3972,yes,,,46,9,18,1,0,Chromium,Skia/PDF m149,D:20260715110545+00'00',D:20260715110545+00'00',0,
