id,name,match_key,other_printed_names,printed_name_variants,roles,documents,first_document,first_page,name_read_from_interleaved_layout,notices_published,awards_published,total_contract_value_taka,districts,parent_named,notices_with_substantive_criteria,notices_without_substantive_criteria,distinct_winners,winners
og0075,Office of the Project Director (3Link Road),OFFICE OF THE PROJECT DIRECTOR 3LINK ROAD,,1,procuring entity,9,Contract_Awards_PDFs/Tender_868640.pdf,1,,5,4,2476908632.925,Khulna,Khulna Development Authority (KDA),5,0,4,"DIENCO LIMITED | DIENCO-MIR AKHTER JV ( JVCA Partners [Business Share]: DIENCO LIMITED [50.000%] , MIR AKHTER HOSSAIN LIMITED [50.000%] ) | IH-RSE-SHJ (JV) ( JVCA Partners [Business Share]: M/S Saiful Hasan Joarder [25.000%] , M/S R. S. Enterprise [35.000%] , M/S ISMAIL HOSSAIN [40.000%] ) | IH-RSE (JV) ( JVCA Partners [Business Share]: M/S R. S. Enterprise [60.000%] , M/S ISMAIL HOSSAIN [40.000%] )"
og0076,Department of Public Health Engineering (DPHE),DEPARTMENT OF PUBLIC HEALTH ENGINEERING DPHE,,1,agency,1,Contract_Awards_PDFs/Tender_89768.pdf,1,,0,1,2729526.828,Laksmipur,Local Government Division,0,0,1,M/S. Mukta Enterprise
og0077,"Office of the Executive Engineer DPHE, Lakshmipur",OFFICE OF THE EXECUTIVE ENGINEER DPHE LAKSHMIPUR,,1,procuring entity,1,Contract_Awards_PDFs/Tender_89768.pdf,1,,0,1,2729526.828,Laksmipur,Department of Public Health Engineering (DPHE),0,0,1,M/S. Mukta Enterprise
og0078,Project Director(Shishukanon),PROJECT DIRECTOR SHISHUKANON,,1,procuring entity,2,Contract_Awards_PDFs/Tender_91142.pdf,1,,1,1,17986218.291,Chittagong,Chittagong Development Authority,1,0,1,M/S. Raquib & Brothers
og0079,Superintending Engineer-2,SUPERINTENDING ENGINEER 2,,1,procuring entity,4,Contract_Awards_PDFs/Tender_918775.pdf,1,,2,2,77391524.629,Chattogram,Chittagong Development Authority,2,0,2,Cooltech Corporation | M/s.Suraim Enterprise
og0080,Superintending Engineer (Civil Circle-2),SUPERINTENDING ENGINEER CIVIL CIRCLE 2,,1,procuring entity,2,Contract_Awards_PDFs/Tender_926623.pdf,1,,1,1,4722959.142,Dhaka,Rajdhani Unnayan Kartripakkha (RAJUK),0,1,1,Nur Traders
og0081,Project Director(CRBKRKBC),PROJECT DIRECTOR CRBKRKBC,,1,procuring entity,3,Contract_Awards_PDFs/Tender_943936.pdf,1,,2,1,30185717.777,Chattogram,Chittagong Development Authority,2,0,1,"RNYB Ltd. - Alif Enterprise JV. ( JVCA Partners [Business Share]: RN Yakub & Brothers Private Limited. [60.000%] , Alif Enterprise [40.000%] )"
og0082,"Zilla Parishad, Sirajganj",ZILLA PARISHAD SIRAJGANJ,,1,agency,1,Contract_Awards_PDFs/Tender_95841.pdf,1,,0,1,475000,Sirajganj,Local Government Division,0,0,1,Md. Abdus Sobhan Dablu
og0083,"Zila Parishad, Sirajganj",ZILA PARISHAD SIRAJGANJ,,1,procuring entity,1,Contract_Awards_PDFs/Tender_95841.pdf,1,,0,1,475000,Sirajganj,"Zilla Parishad, Sirajganj",0,0,1,Md. Abdus Sobhan Dablu
og0084,Construction Division-2,CONSTRUCTION DIVISION 2,,1,procuring entity,13,Contract_Awards_PDFs/Tender_959962.pdf,1,,12,1,100790743.232,Chattogram,Chittagong Development Authority,12,0,1,"RNYB Ltd. - EBL - Alif JV. ( JVCA Partners [Business Share]: Escape Bangladesh Limited [25.000%] , RN Yakub & Brothers Private Limited. [40.000%] , Alif Enterprise [35.000%] )"
