id,name,match_key,other_printed_names,printed_name_variants,roles,documents,first_document,first_page,name_read_from_interleaved_layout,notices_published,awards_published,total_contract_value_taka,districts,parent_named,notices_with_substantive_criteria,notices_without_substantive_criteria,distinct_winners,winners
og0011,Office of the Superintending Engineer (Electrical),OFFICE OF THE SUPERINTENDING ENGINEER ELECTRICAL,,1,procuring entity,153,Contract_Awards_PDFs/Tender_1002814.pdf,1,,95,58,254216479.995,Dhaka,Rajdhani Unnayan Kartripakkha (RAJUK),83,12,27,Powercell Engineering Ltd | PROPERTY DEVELOPMENT LIMITED | T.S Enterprise | M/S Raj Development Construction | M/S TANIN ENTERPRISE | Concept Elevators & Engineering Ltd. | M/S Sunny Construction | NATIONAL DEVELOPMENT ENGINEERS LTD. | DAFFODIL ELECTRIC COMPANY LIMITED | Aliza Enterprise | TECHNO SOLUTION | Optimal Technology (Pvt. ) Ltd. | M/S. Sharif & Sons | M/S. Bangladesh Computer Land | MAAN BANGLADESH LTD. | Hazi Traders | Cooltech Corporation | AAYAT ENTERPRISE | Silver Sun Electronics | Star Tech & Engineering Ltd. | Daffodil Electric Company | MULTITRADE INTERNATIONAL | S.M.S. SYSTEMS | MEP ENGINEERING POINT | Creatus Computer | M/S. Maliha Enterprise | M/S Mirza Construction
og0012,Uttara Apartment Project,UTTARA APARTMENT PROJECT,,1,procuring entity,89,Contract_Awards_PDFs/Tender_1003623.pdf,1,,58,31,1819825188.917,Dhaka,Rajdhani Unnayan Kartripakkha (RAJUK),16,42,25,"Gess Bangladesh | The Continantal Builders | Speed Engineers & Technology. | WALTON HI-TECH INDUSTRIES PLC. | M/S. Miaze Enterprise | T.S Enterprise | The United Construction Co. | M/s. Faisal Enterprise | NATIONAL DEVELOPMENT ENGINEERS LTD. | Concept Elevators & Engineering Ltd. | M/s. SS & MT (JV) ( JVCA Partners [Business Share]: M/S. Monir Traders [49.000%] , M/S. Sharif & Sons [51.000%] ) | M/S Chowdhury Enterprise | M/S. Udayan Builders - M/S. Tanni Enterprise JV ( JVCA Partners [Business Share]: M/S Udayan Builders [75.000%] , M/S. TANNI ENTERPRISE [25.000%] ) | M/S. AMIN TRADING CORPORATION | MEP ENGINEERING POINT | SSL-CONVOY JV ( JVCA Partners [Business Share]: CONVOY SERVICE [30.000%] , Starlite Services Limited [70.000%] ) | M/S Sunny Construction | Momotaj Engineers Ltd. | SS-RC (JV) ( JVCA Partners [Business Share]: Rafiq Construction Co. (Pvt.) Ltd. [60.000%] , M/S. Sharif & Sons [40.000%] ) | UCC-SC JV ( JVCA Partners [Business Share]: M/S Sunny Construction [60.000%] , The United Construction Co. [40.000%] ) | Nur Enterprise-Amin Trading Corporation JV ( JVCA Partners [Business Share]: M/S Nur Enterprise [51.000%] , M/S. AMIN TRADING CORPORATION [49.000%] ) | NDE-UCC-SC JV ( JVCA Partners [Business Share]: M/S Sunny Construction [35.000%] , NATIONAL DEVELOPMENT ENGINEERS LTD. [40.000%] , The United Construction Co. [25.000%] ) | M/s. Active International | Net Planet Soft & Engineering | Donatien International"
og0013,Project Director(Silimpur),PROJECT DIRECTOR SILIMPUR,,1,procuring entity,8,Contract_Awards_PDFs/Tender_100483.pdf,1,,4,4,89959729.932,Chittagong,Chittagong Development Authority,4,0,2,M/S. Raquib & Brothers | M/S Habib Enterprise
og0014,Superintending Engineer (Civil Circle-4),SUPERINTENDING ENGINEER CIVIL CIRCLE 4,,1,procuring entity,48,Contract_Awards_PDFs/Tender_1007300.pdf,1,,28,20,442646522.64,Dhaka,Rajdhani Unnayan Kartripakkha (RAJUK),0,28,13,HAIDER & CO. | M/S. A. R. Enterprise | M/s Shafique and Sons | Momotaj Engineers Ltd. | Starlite Services Limited | Aliza Enterprise | M/S. Niaz Traders | M/S. Maliha Enterprise | M/S Britto Construction | M/S. Khan Enterprise | M/S. AMIN TRADING CORPORATION | CONVOY SERVICE | M/S. Raju International
og0015,Purbachal New Town Project,PURBACHAL NEW TOWN PROJECT,,1,procuring entity,161,Contract_Awards_PDFs/Tender_1008542.pdf,1,,110,51,2252410461.417001,Dhaka,Rajdhani Unnayan Kartripakkha (RAJUK),1,109,35,"CONVOY SERVICE | M/S. A. R. Enterprise | M/S. Sharif & Sons | Aliza Enterprise | M/s Mithila Enterprise | HAIDER & CO. | Starlite Services Limited | M/S Udayan Builders | KSBL-TSE JOINT VENTURE ( JVCA Partners [Business Share]: Khan and Sons (Bangladesh) Limited [51.000%] , T.S Enterprise [49.000%] ) | M/s Shafique and Sons | TCEL TE JV ( JVCA Partners [Business Share]: THE CIVIL ENGINEERS LIMITED [50.000%] , M/S TAJEEM ENTERPRISE [50.000%] ) | AK- Amin Development Co. Limited | M/s. SS & MT (JV) ( JVCA Partners [Business Share]: Monir Engineering And Construction Ltd. [49.000%] , M/S. Sharif & Sons [51.000%] ) | SSL- CONVOY JV ( JVCA Partners [Business Share]: CONVOY SERVICE [49.000%] , Starlite Services Limited [51.000%] ) | M/S. Alam & Co. | MOZAHAR ENTERPRISE (PVT.) LTD. & M/S REZA ENTERPRISE-JV ( JVCA Partners [Business Share]: M/S REZA ENTERPRISE [90.000%] , MOZAHAR ENTERPRISE (PVT.) LTD. [10.000%] ) | Mazid Sons - Sunny Construction JV ( JVCA Partners [Business Share]: Mazid Sons Construction Ltd. [51.000%] , M/S Sunny Construction [49.000%] ) | SS-RI JV ( JVCA Partners [Business Share]: M/S. Raju International [51.000%] , M/S. Sharif & Sons [49.000%] ) | SC & ARE JV ( JVCA Partners [Business Share]: M/S. A. R. Enterprise [49.000%] , M/S. Sapna Construction [51.000%] ) | Udayan-Convoy JV ( JVCA Partners [Business Share]: M/S Udayan Builders [70.000%] , CONVOY SERVICE [30.000%] ) | UCCL The United Construction Company Limited | Rana Builders (Pvt.) Ltd. - M/s Shafique and Sons (JV) ( JVCA Partners [Business Share]: Rana Builders (Pvt.) Ltd. [51.000%] , M/s Shafique and Sons [49.000%] ) | M/S. Niaz Traders | H RAHMAN ENTERPRISE | Momotaj Engineers Ltd. | M/S. AMIN TRADING CORPORATION | M/S Sunny Construction | M/S RAHMAN ENGINEERING - M/S TANNI ENTERPRISE (JV) ( JVCA Partners [Business Share]: M/S Rahman Engineering [51.000%] , M/S. TANNI ENTERPRISE [49.000%] ) | Concept Elevators & Engineering Ltd. | M/s. M.R. Construction | M/S. Maliha Enterprise | SS-RI JV ( JVCA Partners [Business Share]: M/S. Raju International [49.000%] , M/S. Sharif & Sons [51.000%] ) | Rana Builders (Pvt.) Ltd. - M/s. Shafique and Sons (JV) ( JVCA Partners [Business Share]: Rana Builders (Pvt.) Ltd. [51.000%] , M/s Shafique and Sons [49.000%] ) | Khokan Construction & Engineering Ltd | M/S Laila Enterprise"
og0016,Khulna Development Authority (KDA),KHULNA DEVELOPMENT AUTHORITY KDA,,1,agency,101,Contract_Awards_PDFs/Tender_1009276.pdf,1,,64,37,5893006555.933001,Khulna,Ministry of Housing and Public Works,0,0,30,"M.A. COMPUTER | NURJAHAN ENTERPRISE | M/S. ROKEYA TRADERS | S.A Enterprise | Intimacy Computer & Solutions | Rangs Limited | MSE-KCL (JV) ( JVCA Partners [Business Share]: M/S. SUMA ENGINEERS [0.000%] , Kabico Limited [0.000%] ) | Toma Construction & Co. Limited | Crescent Computers Ltd. | STRATEGIC BD LEAD CORPORATION | M/S. Khandaker Shahin Ahmed | Mohammed Eunus & Brothers (Pvt.) Ltd. | M/S. Monir Traders | M/S. MRM International | ENTECH INSTRUMENTS LTD | Shell Corporation | M. M. Builders & Engineers Ltd. | MHR ENGINEERING | MAAN BANGLADESH LTD. | Flora Limited | Ataur Rahman Khan Ltd & Mahabub Brothers (Pvt) Ltd JV ( JVCA Partners [Business Share]: MAHABUB BROTHERS(PVT)LIMITED [49.000%] , Ataur Rahman Khan Ltd. [51.000%] ) | YSP TECHNOLOGY | M/s B. D. & CO | Add construction solution | MAHABUB BROTHERS(PVT)LIMITED | M/S RAFID TRADERS | DIENCO LIMITED | DIENCO-MIR AKHTER JV ( JVCA Partners [Business Share]: DIENCO LIMITED [50.000%] , MIR AKHTER HOSSAIN LIMITED [50.000%] ) | IH-RSE-SHJ (JV) ( JVCA Partners [Business Share]: M/S Saiful Hasan Joarder [25.000%] , M/S R. S. Enterprise [35.000%] , M/S ISMAIL HOSSAIN [40.000%] ) | IH-RSE (JV) ( JVCA Partners [Business Share]: M/S R. S. Enterprise [60.000%] , M/S ISMAIL HOSSAIN [40.000%] )"
og0017,Office of the Assistant Programmer,OFFICE OF THE ASSISTANT PROGRAMMER,,1,procuring entity,18,Contract_Awards_PDFs/Tender_1009276.pdf,1,,10,8,9880285.792,Khulna,Khulna Development Authority (KDA),10,0,7,M.A. COMPUTER | Intimacy Computer & Solutions | Crescent Computers Ltd. | STRATEGIC BD LEAD CORPORATION | MHR ENGINEERING | Flora Limited | M/s B. D. & CO
og0018,Office of Exen (Maintenance),OFFICE OF EXEN MAINTENANCE,,1,procuring entity,18,Contract_Awards_PDFs/Tender_1010247.pdf,1,,10,8,21850463.081,Khulna,Khulna Development Authority (KDA),10,0,4,NURJAHAN ENTERPRISE | M/S. ROKEYA TRADERS | Rangs Limited | Add construction solution
og0019,Project Director(DC Road),PROJECT DIRECTOR DC ROAD,,1,procuring entity,2,Contract_Awards_PDFs/Tender_101083.pdf,1,,1,1,3963689.307,Chittagong,Chittagong Development Authority,1,0,1,M/S. Mohshin & Brothers
og0020,Cox's Bazar Development Authority,COX S BAZAR DEVELOPMENT AUTHORITY,,1,agency;procuring entity,243,Contract_Awards_PDFs/Tender_1016323.pdf,1,,263,189,5975434886.262001,Cox's Bazar,Ministry of Housing and Public Works | Cox's Bazar Development Authority,21,102,43,"Sumon Enterprise | Nahar Construction | M/S M R Enterprise | PAVILLION BUILDERS | Jahan Enterprise | Lucky Star | M/S Kamol Trade International | Smart Technologies (BD) Ltd. | M/S Modhumati Construction | S.A.K. ENTERPRISE | M/S Misbah Enterprise | Charm Limited | M/S. Prominent Engineers | Bangla Trac Limited | M/S Molla & Brothers | M/S Building Construction Consultant (BCC) | FUJITECH | S.S Rahman International | Khan and Sons (Bangladesh) Limited | Ecom Trade International | Frontline Communications Ltd | M/S. Shishir Construction | NATIONAL DEVELOPMENT ENGINEERS LTD. | M/S. T.J Construction | Taher Brothers Ltd. | Legacy Furniture (Pvt.) Ltd. | Optimal Technology (Pvt. ) Ltd. | Extreme Engineering Development Consultant | Rancon Industrial Solutions Ltd. | SCL-LB-KEC JV ( JVCA Partners [Business Share]: M/S. KARIM ENTERPRISE & CONSTRUCTION [30.000%] , Sun Flower Construction Ltd. [40.000%] , M/S LABON & BROTHERS [30.000%] ) | Hassan Techno Builders Ltd. - Taher Brothers Ltd. JV. ( JVCA Partners [Business Share]: Hassan Techno Builders Ltd. [60.000%] , Taher Brothers Ltd. [40.000%] ) | M/S LABON & BROTHERS | H.A Enterprise | M/S N Mohammed Trading | M/S S.R Construction | ADVANCE TECHNOLOGY CONSORTIUM LIMITED | Hatil Complex Ltd | Global Office Automation Ltd. | R R Enterprise | S. R. Trade International"
og0021,"Construction Division-1, Chattogram Development Authority",CONSTRUCTION DIVISION 1 CHATTOGRAM DEVELOPMENT AUTHORITY,,1,procuring entity,16,Contract_Awards_PDFs/Tender_1023333.pdf,1,,9,7,51582087.099,Chattogram,Chittagong Development Authority,9,0,6,M/S. Amanat Enterprise | M/s.Suraim Enterprise | M/S. Khan Corporation | M/S. Nice Enterprise | M/S. Shah Jabbaria Construction & Co. | MS TECHNOLOGIES LIMITED
og0022,Office of the Project Director (KDA Bus Terminal),OFFICE OF THE PROJECT DIRECTOR KDA BUS TERMINAL,,1,procuring entity,4,Contract_Awards_PDFs/Tender_1037582.pdf,1,,2,2,111998151.169,Khulna,Khulna Development Authority (KDA),2,0,2,S.A Enterprise | M/S RAFID TRADERS
og0023,Development of Residential and commercial Infrastructure at Jhilmil Residential Project Area,DEVELOPMENT OF RESIDENTIAL AND COMMERCIAL INFRASTRUCTURE AT JHILMIL RESIDENTIAL PROJECT AREA,,1,procuring entity,55,Contract_Awards_PDFs/Tender_1044320.pdf,1,,38,17,1305864505.845,Dhaka,Rajdhani Unnayan Kartripakkha (RAJUK),0,38,14,"M/S. Niaz Traders | Gess Bangladesh | WALTON HI-TECH INDUSTRIES PLC. | Starlite Services Limited | Convoy Service JV ( JVCA Partners [Business Share]: CONVOY SERVICE [49.000%] , Starlite Services Limited [51.000%] ) | SUNTECH ENERGY LTD. | HTMS Limited | MULTITRADE INTERNATIONAL | Rafiq Construction Co. (Pvt.) Ltd. - Haider & Co-Momotaj Engineers Ltd (JV) ( JVCA Partners [Business Share]: HAIDER & CO. [25.000%] , Momotaj Engineers Ltd. [25.000%] , Rafiq Construction Co. (Pvt.) Ltd. [50.000%] ) | M/s. Udyan Builders-Starlite Services Ltd-Convoy Service JV ( JVCA Partners [Business Share]: M/S Udayan Builders [40.000%] , CONVOY SERVICE [25.000%] , Starlite Services Limited [35.000%] ) | MEPL-RE JV. ( JVCA Partners [Business Share]: M/S REZA ENTERPRISE [90.000%] , MOZAHAR ENTERPRISE (PVT.) LTD. [10.000%] ) | SA-TANNI-DAWN-JV ( JVCA Partners [Business Share]: M/S. Dawn Corporation [42.000%] , M/S. S. A. Enterprise [32.000%] , M/S. TANNI ENTERPRISE [26.000%] ) | Anik Trading and Construction-Fastbuild JV ( JVCA Partners [Business Share]: FASTBUILD [75.000%] , Anik Trading and Construction Limited [25.000%] ) | Momotaj Engineers Ltd."
og0024,Project Director (Muradpur Flyover),PROJECT DIRECTOR MURADPUR FLYOVER,,1,procuring entity,8,Contract_Awards_PDFs/Tender_108836.pdf,1,,4,4,146108252.563,Chittagong,Chittagong Development Authority,4,0,4,"TD Trading | M/S. R.S. Enterprise | M/S. AS - RAS Trading (JV) ( JVCA Partners [Business Share]: M/S. Abdus Salam [0.000%] , M/S RASHIA&SONS TRADING [0.000%] ) | M/s. Sohel Incorporation"
og0025,Director (Admin),DIRECTOR ADMIN,,1,procuring entity,20,Contract_Awards_PDFs/Tender_1096839.pdf,1,,11,9,20049442.131,Dhaka,Rajdhani Unnayan Kartripakkha (RAJUK),2,9,6,Evergreen Printing press | ENOVA COMMUNICATIONS | Shapla Enterprise | Tithy Printing & Packaging | M/S Faith Print | Total Accessories
og0026,Project Director (Saltgola),PROJECT DIRECTOR SALTGOLA,,1,procuring entity,6,Contract_Awards_PDFs/Tender_110297.pdf,1,,4,2,497896865.277,Chittagong;Chattogram,Chittagong Development Authority,4,0,2,The Engineers & Architects Limited | ELECTROMECH AUTOMATION SERVICES LTD
og0027,Local Government Division,LOCAL GOVERNMENT DIVISION,,1,ministry,6,Contract_Awards_PDFs/Tender_111480.pdf,1,,0,6,14630909.517,Satkhira;Pabna;Barisal;Chittagong;Laksmipur;Sirajganj,,0,0,6,Md Rafiqul Islam. | M/S. SHAFIQUE TRADERS | M/S Oshin Enterprise | M/S. Al-Arif Enterprise | M/S. Mukta Enterprise | Md. Abdus Sobhan Dablu
og0028,Local Government Engineering Department (LGED),LOCAL GOVERNMENT ENGINEERING DEPARTMENT LGED,,1,agency,4,Contract_Awards_PDFs/Tender_111480.pdf,1,,0,4,11426382.689,Satkhira;Pabna;Barisal;Chittagong,Local Government Division,0,0,4,Md Rafiqul Islam. | M/S. SHAFIQUE TRADERS | M/S Oshin Enterprise | M/S. Al-Arif Enterprise
og0029,"Office of the Executive Engineer, LGED, Satkhira",OFFICE OF THE EXECUTIVE ENGINEER LGED SATKHIRA,,1,procuring entity,1,Contract_Awards_PDFs/Tender_111480.pdf,1,,0,1,3560581.224,Satkhira,Local Government Engineering Department (LGED),0,0,1,Md Rafiqul Islam.
og0030,Office of the Chairman,OFFICE OF THE CHAIRMAN,,1,procuring entity,61,Contract_Awards_PDFs/Tender_112012.pdf,1,,39,22,1854573041.864,Rajshahi,Rajshahi Development Authority,0,39,21,"Abdul Monem Ltd | Mechanism Trade & Engineering Ltd. | M/S Gazi Construction | M/S HOSSAIN ENTERPRISE | MAA Enterprise | Rithin Enterprise and Kohinoor Enterprise J.V ( JVCA Partners [Business Share]: M/S. Kohinoor Enterprise [0.000%] , Rithin Enterprise [0.000%] ) | Thakral Information Systems Private Limited | PS Engineering | ADVANCE TECHNOLOGY CONSORTIUM LIMITED | The Engineers & Architects Limited | Khaled Mohammad Selim | YSP TECHNOLOGY | Rithin Enterprise | Arc Bangladesh Ltd. | PARVEZ CONSTRUCTION LIMITED | ETASA ENTERPRISE | Noor Hossain Ltd. (JV) ( JVCA Partners [Business Share]: MD. DOLLAR [80.000%] , Noor Hossain Limited [20.000%] ) | RUPOKAR | KEECO LIMITED | MD. DOLLAR | SHAMIM ENTERPRISE (PVT) LTD"
og0031,"Project Director(M.Uddin), Chittagong Development Authority",PROJECT DIRECTOR M UDDIN CHITTAGONG DEVELOPMENT AUTHORITY,,1,procuring entity,47,Contract_Awards_PDFs/Tender_1128572.pdf,1,,28,19,65667175.302,Chattogram,Chittagong Development Authority,28,0,12,M/S. Haroon & Brothers | M/S. Gulzar Trading | M/s J S Enterprise | M/S. Nice Enterprise | Trade Spin | M/S Hasan & Brothers | Volume - 11 | M/S. A. F. C. | M/S. J.J. Traders | M/s. Bhuiyan Traders | The Gausia Metalic Products | Icon Developments & Holdings Ltd
og0032,Office of the Chief Engineer (Implementation),OFFICE OF THE CHIEF ENGINEER IMPLEMENTATION,,1,procuring entity,104,Contract_Awards_PDFs/Tender_113428.pdf,1,,68,36,2950515040.982,Dhaka,Rajdhani Unnayan Kartripakkha (RAJUK),36,32,27,"GUARD FORCE SERVICES & HUMAN RESOURCE | NIAZ-NOONA-KTA JV ( JVCA Partners [Business Share]: KHOKAN TRADING AGENCY [0.000%] , Noona Traders [0.000%] , M/S. Niaz Traders [0.000%] ) | M/S. A. R. Enterprise | Mir Habibul Alam & Starlite Services Ltd & M/s. Udayn Builders JV ( JVCA Partners [Business Share]: Mir Habibul Alam [0.000%] , M/S Udayan Builders [0.000%] , Starlite Services Limited [0.000%] ) | Convoy Service-M/S Paradise Traders-Moshiur Rahman Chowdhury JV ( JVCA Partners [Business Share]: M/S Paradise Traders [0.000%] , CONVOY SERVICE [0.000%] , Moshiur Rahman Chowdhury [0.000%] ) | Rafiq Construction Co. (Pvt.) Ltd. | Domestic Power & Engineering | M/S Razin International | M/S Britto Construction | MOZAHAR ENTERPRISE (PVT.) LTD. | Unity Builders & Engineering | M/S. Alam & Co. | Momotaj Engineers Ltd. | M/S Udayan Builders | The United Construction Co. | Toma Construction & Co. Limited | CONVOY SERVICE | M/S Techno Trade International | M/s Shafique and Sons | NIAZ-NOONA JV. ( JVCA Partners [Business Share]: Noona Traders [51.000%] , M/S. Niaz Traders [49.000%] ) | Rafiq Construction Co. (Pvt.) Ltd and M/S Shafique & Sons Consortium ( JVCA Partners [Business Share]: M/s Shafique and Sons [49.000%] , Rafiq Construction Co. (Pvt.) Ltd. [51.000%] ) | M/S. Niaz Traders | MAHABUB BROTHERS(PVT)LIMITED | MRC-Techbay-JV ( JVCA Partners [Business Share]: M/s. M.R. Construction [49.000%] , Techbay International [51.000%] ) | UCCL The United Construction Company Limited | M.A.H Construction Ltd,RAB-RC(PVT)Ltd and Dawn Corporation JV ( JVCA Partners [Business Share]: M/S. Dawn Corporation [0.000%] , RAB-RC (PVT) LIMITED [0.000%] , M.A.H. CONSTRUCTION LTD. [0.000%] ) | Starlite Services Ltd & Convoy Service JV ( JVCA Partners [Business Share]: CONVOY SERVICE [0.000%] , Starlite Services Limited [0.000%] )"
og0033,Project Director (MehedibagSQ),PROJECT DIRECTOR MEHEDIBAGSQ,,1,procuring entity,2,Contract_Awards_PDFs/Tender_114570.pdf,1,,1,1,4197894.516,Chittagong,Chittagong Development Authority,1,0,1,M/S. R S A TRADE INTERNATIONAL
og0034,"Office of the Project Director, CoxDA Residential Flat Project-1",OFFICE OF THE PROJECT DIRECTOR COXDA RESIDENTIAL FLAT PROJECT 1,,1,procuring entity,8,Contract_Awards_PDFs/Tender_1152584.pdf,1,,4,4,238234174.491,Cox's Bazar,Cox's Bazar Development Authority,0,4,4,Charm Limited | Sumon Enterprise | M/S. Prominent Engineers | M/S Quashem Construction
og0035,CoxDA Master Plan,COXDA MASTER PLAN,,1,procuring entity,26,Contract_Awards_PDFs/Tender_1163081.pdf,1,,13,13,58909283.541,Cox's Bazar,Cox's Bazar Development Authority,0,13,8,M/S. Prominent Engineers | M/S Molla & Brothers | Smart Technologies (BD) Ltd. | ADVANCE TECHNOLOGY CONSORTIUM LIMITED | Hatil Complex Ltd | Global Office Automation Ltd. | M/S S.R Construction | M/S M R Enterprise
og0036,office of the Chief Engineer ( Project & Design),OFFICE OF THE CHIEF ENGINEER PROJECT DESIGN,,1,procuring entity,189,Contract_Awards_PDFs/Tender_119636.pdf,1,,136,53,418936681.404,Dhaka,Rajdhani Unnayan Kartripakkha (RAJUK),124,12,20,"Chanderima Refrigeration | Daffodil Electric Company | M/S. Maliha Enterprise | M/s. Halim Enterprise. | Dulal Enterprise (Pvt) Ltd. | Sohel Engineering & Construction Ltd. | Quality Powertec Engineering Ltd. | M/S. Brothers Construction | M/S. Sany Construction | Fire Trade - M/s Khandaker Shahin Ahmed JV ( JVCA Partners [Business Share]: M/S. Khandaker Shahin Ahmed [0.000%] , Fire Trade [0.000%] ) | Silver Sun Electronics | M/S Nur Enterprise | Sherpa Power Engineering Ltd. | Superstar Renweable Energy Ltd (SSG Solar) | Mitu Printing Press & Packaging | T.S Enterprise | M/S Howlader Trading International | M/S TANIN ENTERPRISE | M/S Techno Trade International | M/s Manik & Brothers"
og0037,Gulshan-Banani-Baridhara Lake Development Project,GULSHAN BANANI BARIDHARA LAKE DEVELOPMENT PROJECT,,1,procuring entity,8,Contract_Awards_PDFs/Tender_1225895.pdf,1,,5,3,192384339.486,Dhaka,Rajdhani Unnayan Kartripakkha (RAJUK),0,5,3,SSL- Convoy JV (Joint Venture) | M/S. Dawn Corporation | Starlite Services Limited
og0038,Management Information System (MIS),MANAGEMENT INFORMATION SYSTEM MIS,,1,procuring entity,27,Contract_Awards_PDFs/Tender_1231413.pdf,1,,19,8,16427886.192,Chattogram;Chittagong,Chittagong Development Authority,19,0,8,B & S ENGINEERING | Fatema Construction BD | Smart Digital Technologies | Innovative Online Ltd. | Endeavour Technologies Ltd | MS TECHNOLOGIES LIMITED | Solution World Limited | Verbal
og0039,Office of the Project Director (KDA Rest House Project-Khulna),OFFICE OF THE PROJECT DIRECTOR KDA REST HOUSE PROJECT KHULNA,,1,procuring entity,2,Contract_Awards_PDFs/Tender_124055.pdf,1,,1,1,52530500.002,Khulna,Khulna Development Authority (KDA),1,0,1,"MSE-KCL (JV) ( JVCA Partners [Business Share]: M/S. SUMA ENGINEERS [0.000%] , Kabico Limited [0.000%] )"
og0040,Gazipur Development Authority,GAZIPUR DEVELOPMENT AUTHORITY,,1,agency,28,Contract_Awards_PDFs/Tender_1251756.pdf,1,,20,8,9925176.25,Gazipur,Ministry of Housing and Public Works,0,0,5,CAR RENT. COM BD | GREONY CORPORATION | Creative Engineering & Technology | FURNITURE SOLUTION & INTERIOR | BROTHER'S SECURITY & SUPPLY CHAIN
og0041,"Office of the Chief Engineer, Gazipur Development Authority",OFFICE OF THE CHIEF ENGINEER GAZIPUR DEVELOPMENT AUTHORITY,,1,procuring entity,8,Contract_Awards_PDFs/Tender_1251756.pdf,1,,5,3,4660164,Gazipur,Gazipur Development Authority,5,0,3,CAR RENT. COM BD | GREONY CORPORATION | BROTHER'S SECURITY & SUPPLY CHAIN
og0042,"Planning Section, Gazipur Development Authority",PLANNING SECTION GAZIPUR DEVELOPMENT AUTHORITY,,1,procuring entity,7,Contract_Awards_PDFs/Tender_1253316.pdf,1,,5,2,2884032,Gazipur,Gazipur Development Authority,5,0,2,Creative Engineering & Technology | BROTHER'S SECURITY & SUPPLY CHAIN
og0043,"Office of the Member,Administration and Finance Department, Gazipur Development Authority",OFFICE OF THE MEMBER ADMINISTRATION AND FINANCE DEPARTMENT GAZIPUR DEVELOPMENT AUTHORITY,,1,procuring entity,7,Contract_Awards_PDFs/Tender_1253428.pdf,1,,5,2,2075880.25,Gazipur,Gazipur Development Authority,5,0,2,Creative Engineering & Technology | BROTHER'S SECURITY & SUPPLY CHAIN
og0044,"Admin and Finance Section, Gazipur Development Authority",ADMIN AND FINANCE SECTION GAZIPUR DEVELOPMENT AUTHORITY,,1,procuring entity,6,Contract_Awards_PDFs/Tender_1257073.pdf,1,,5,1,305100,Gazipur,Gazipur Development Authority,5,0,1,FURNITURE SOLUTION & INTERIOR
og0045,Office of Chief Engineer,OFFICE OF CHIEF ENGINEER,,1,procuring entity,20,Contract_Awards_PDFs/Tender_149365.pdf,1,,13,7,795825888.625,Khulna,Khulna Development Authority (KDA),12,1,6,Toma Construction & Co. Limited | M/S. Khandaker Shahin Ahmed | Mohammed Eunus & Brothers (Pvt.) Ltd. | M/S. Monir Traders | M/S. MRM International | M. M. Builders & Engineers Ltd.
og0046,Power Division,POWER DIVISION,,1,ministry,1,Contract_Awards_PDFs/Tender_15000.pdf,1,,0,1,280119.679,Comilla,,0,0,1,OptiNet
og0047,Power Grid Company of Bangladesh Ltd. (PGCB),POWER GRID COMPANY OF BANGLADESH LTD PGCB,,1,agency,1,Contract_Awards_PDFs/Tender_15000.pdf,1,,0,1,280119.679,Comilla,Power Division,0,0,1,OptiNet
og0048,"Grid Maintenance Division, Comilla",GRID MAINTENANCE DIVISION COMILLA,,1,procuring entity,1,Contract_Awards_PDFs/Tender_15000.pdf,1,,0,1,280119.679,Comilla,Power Grid Company of Bangladesh Ltd. (PGCB),0,0,1,OptiNet
og0049,"Office of the Executive Engineer, LGED, Pabna",OFFICE OF THE EXECUTIVE ENGINEER LGED PABNA,,1,procuring entity,1,Contract_Awards_PDFs/Tender_159826.pdf,1,,0,1,2575159.201,Pabna,Local Government Engineering Department (LGED),0,0,1,M/S. SHAFIQUE TRADERS
og0050,"Office of the Project Director, Urban Resilience Project-RAJUK Part,RAJUK,Dhaka",OFFICE OF THE PROJECT DIRECTOR URBAN RESILIENCE PROJECT RAJUK PART RAJUK DHAKA,,1,procuring entity,22,Contract_Awards_PDFs/Tender_164878.pdf,1,,13,9,133218515.387,Dhaka,Rajdhani Unnayan Kartripakkha (RAJUK),0,13,7,Pacific Motors Limited | Smart Technologies (BD) Ltd. | Hatil Complex Ltd | MEP ENGINEERING POINT | Optimal Technology (Pvt. ) Ltd. | RANCON MOTOR BIKES LIMITED | M/S. FORMILA AKTER
og0051,"Office of the Executive Engineer, LGED, Barisal",OFFICE OF THE EXECUTIVE ENGINEER LGED BARISAL,,1,procuring entity,1,Contract_Awards_PDFs/Tender_168749.pdf,1,,0,1,1367468.163,Barisal,Local Government Engineering Department (LGED),0,0,1,M/S Oshin Enterprise
og0052,office of Chief Engineer ( Project & Design),OFFICE OF CHIEF ENGINEER PROJECT DESIGN,,1,procuring entity,2,Contract_Awards_PDFs/Tender_18994.pdf,1,,1,1,1512000.037,Dhaka,Rajdhani Unnayan Kartripakkha (RAJUK),1,0,1,ConnectBD Limited
og0053,Ministry of Water Resources,MINISTRY OF WATER RESOURCES,,1,ministry,2,Contract_Awards_PDFs/Tender_20558.pdf,1,,1,1,11692619.969,Dinajpur,,0,0,1,M/S. Shahid Brothers
og0054,Bangladesh Water Development Board (BWDB),BANGLADESH WATER DEVELOPMENT BOARD BWDB,,1,agency,1,Contract_Awards_PDFs/Tender_20558.pdf,1,,0,1,11692619.969,Dinajpur,Ministry of Water Resources,0,0,1,M/S. Shahid Brothers
